category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
      Imputed rental of owner-occupied nonfarm housing\4\,10.333,10.057,9.523,8.55,7.369,6.898,6.883,7.045,7.369,7.611,7.612,7.644,7.773,7.952,7.952,7.968,8.0,8.049,8.308,8.858,9.247,9.571,9.96,10.364,10.931,11.304,11.466,11.676,11.887,12.113,12.278,12.467,12.621,12.768,12.91,13.035,13.16,13.345,13.59,13.922,14.362,14.96,15.65,16.199,16.898,17.536,18.702,19.947,21.648,23.137,24.938,27.254,30.065,32.62,34.596,36.372,38.511,40.8,42.685,44.639,46.497,48.728,50.145,51.495,52.872,54.361,56.161,57.942,59.631,61.563,63.241,65.122,67.619,70.369,72.089,73.73,75.436,78.07,80.713,82.738,84.106,84.096,85.07,86.795,88.712,91.051,93.703,96.8,100,103.299,106.749,109.743,112.57,119.036,127.924,134.908
      Rental value of farm dwellings,6.17,5.868,5.281,4.556,4.239,4.448,4.75,4.816,5.077,5.163,5.117,5.092,5.189,5.526,5.909,6.425,7.099,8.59,9.377,9.535,8.749,8.958,9.704,10.388,10.475,10.092,10.25,10.163,10.439,10.848,11.777,12.138,12.652,12.913,13.429,13.813,13.974,14.546,15.261,15.668,16.732,17.91,19.0,20.216,20.59,21.296,21.377,21.898,23.003,24.469,25.753,26.942,27.924,27.051,27.302,27.567,27.218,26.585,26.838,29.271,31.511,33.675,35.964,38.316,43.04,47.914,49.894,51.522,49.389,49.815,51.818,61.078,62.18,61.686,61.573,72.068,79.962,82.618,85.213,85.972,84.814,85.166,91.036,92.677,91.818,94.074,97.645,94.599,100,104.916,106.649,107.977,112.419,124.22,133.53,143.288
      Group housing,7.46,7.314,6.922,6.32,5.676,5.348,5.344,5.448,5.709,5.86,5.914,5.84,5.929,6.258,6.52,6.618,6.701,6.853,7.214,7.643,7.974,8.236,8.778,9.16,9.574,9.873,10.136,10.45,10.846,11.139,11.403,11.578,11.658,11.786,11.955,12.065,12.243,12.422,12.615,12.823,13.346,13.861,14.463,14.946,15.558,16.346,17.435,18.539,20.034,21.485,23.151,25.296,27.621,29.848,31.706,33.507,35.694,37.937,39.668,41.285,42.946,44.789,46.449,47.694,48.874,50.038,51.279,52.633,54.166,55.884,57.588,59.679,62.316,64.784,66.694,68.471,70.528,73.061,76.164,78.945,80.737,80.924,82.323,84.497,86.895,89.616,92.797,96.316,100,103.613,107.432,110.788,113.316,120.158,129.673,136.293
    Household utilities and fuels,6.427,6.324,6.091,5.755,5.586,5.704,5.634,5.636,5.643,5.614,5.543,5.612,5.718,5.914,6.074,6.183,6.198,6.306,6.698,7.269,7.311,7.442,7.619,7.743,7.906,7.971,8.103,8.227,8.449,8.489,8.598,8.76,8.918,8.945,9.005,8.98,9.042,9.152,9.272,9.446,9.69,10.133,10.871,11.3,12.126,14.851,16.776,18.38,20.421,21.939,25.13,30.169,34.902,38.545,40.789,42.567,43.395,42.454,42.467,43.146,44.748,46.651,48.157,49.325,50.949,51.603,52.0,53.773,54.939,53.658,53.873,57.89,62.316,60.108,64.695,68.088,75.348,81.74,84.508,92.98,88.29,90.364,93.68,93.58,96.238,99.923,97.167,96.19,100,102.493,103.005,102.955,110.212,126.69,129.432,133.192
      Water supply and sanitation,2.321,2.321,2.321,2.245,2.043,2.068,2.17,2.169,2.17,2.17,2.144,2.195,2.17,2.195,2.195,2.245,2.296,2.346,2.447,2.523,2.548,2.699,2.8,3.053,3.229,3.406,3.734,3.835,4.137,4.39,4.568,4.713,4.836,4.961,5.112,5.188,5.316,5.512,5.64,5.909,6.309,6.809,7.533,7.812,8.232,8.732,9.58,10.652,11.806,13.177,13.797,14.747,16.529,18.516,20.079,21.432,22.752,24.072,25.497,27.008,28.744,30.773,33.145,35.508,37.468,39.312,40.58,42.031,43.069,44.463,45.448,46.563,47.907,49.454,51.272,54.317,57.175,59.984,63.019,66.723,70.741,75.012,78.762,82.926,86.539,89.649,93.483,96.797,100,103.522,106.806,110.217,114.165,119.295,125.78,132.081
"      Electricity, gas, and other fuels",7.932,7.79,7.472,7.04,6.886,7.04,6.9,6.903,6.913,6.872,6.784,6.861,7.015,7.274,7.492,7.623,7.625,7.755,8.251,8.996,9.045,9.174,9.381,9.472,9.638,9.674,9.761,9.9,10.117,10.11,10.213,10.391,10.569,10.573,10.612,10.559,10.606,10.701,10.827,10.989,11.209,11.663,12.45,12.947,13.936,17.47,19.823,21.672,24.086,25.74,29.854,36.403,42.289,46.615,49.164,51.14,51.801,49.97,49.412,49.755,51.307,53.155,54.304,54.998,56.496,56.674,56.71,58.615,59.833,57.389,57.263,62.538,68.311,64.434,70.212,73.741,82.84,90.747,93.382,103.882,95.445,96.597,99.729,97.816,100.064,103.978,98.606,95.947,100,102.085,101.517,100.105,108.668,129.589,130.829,133.538
        Electricity,17.759,17.197,16.54,16.042,15.858,15.416,14.955,14.473,14.168,13.954,13.726,13.578,13.494,13.41,13.391,13.361,13.293,12.769,12.615,12.733,12.85,12.867,12.987,13.104,13.271,13.339,13.507,13.541,13.609,13.78,13.962,14.169,14.222,14.222,14.169,14.122,14.069,14.069,14.169,14.275,14.588,15.06,16.057,16.841,17.885,21.13,23.849,25.418,27.105,28.801,30.996,35.905,41.28,45.371,46.857,49.85,51.637,52.31,52.155,52.868,54.35,55.614,57.688,58.808,59.961,59.984,61.337,62.354,62.687,60.263,59.791,60.759,65.066,64.427,65.953,67.183,71.358,79.994,83.129,88.439,91.151,91.312,93.025,92.992,94.939,98.345,98.929,97.869,100,100.701,100.897,101.512,105.862,119.648,126.668,131.993
        Natural gas,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,9.576,10.18,10.342,10.342,10.342,10.4,10.4,10.452,10.452,10.563,10.731,11.334,12.159,12.762,13.372,15.02,17.991,21.073,25.019,27.286,31.651,37.841,43.129,51.497,60.328,60.724,60.334,57.414,54.815,54.473,55.966,56.016,56.719,57.765,61.304,62.451,59.161,61.567,65.846,64.616,65.081,76.804,91.489,77.996,95.767,103.764,123.568,126.819,125.559,142.335,111.38,109.17,106.152,95.843,100.527,107.72,95.179,92.544,100,99.972,98.592,98.737,114.917,144.832,134.279,132.272
        Fuel oil and other fuels,3.04,2.983,2.81,2.535,2.44,2.588,2.53,2.577,2.614,2.606,2.565,2.64,2.768,2.978,3.151,3.26,3.27,3.45,3.89,4.522,4.545,4.671,4.859,4.928,5.074,5.096,5.151,5.324,5.604,5.523,5.6,5.518,5.723,5.729,5.838,5.731,5.856,6.011,6.198,6.395,6.53,6.782,7.213,7.258,8.318,13.219,14.344,15.385,17.409,18.408,25.378,35.636,43.598,42.755,39.418,40.296,38.724,30.321,31.108,31.095,32.945,39.676,37.774,36.237,35.987,35.332,35.002,39.672,39.737,35.214,35.816,52.512,51.487,45.901,55.502,64.618,85.974,97.739,104.473,141.813,97.05,113.491,144.501,146.51,144.85,144.484,103.959,87.387,100,119.118,113.84,90.975,118.454,185.16,158.681,146.34
"  Furnishings, household equipment, and routine household maintenance",19.065,18.132,15.974,13.793,13.615,14.451,14.587,14.765,15.741,15.243,15.173,15.391,16.576,19.299,22.429,25.824,28.149,29.047,32.04,33.338,32.072,32.432,35.483,35.146,35.433,35.498,35.384,35.773,36.553,36.829,36.384,37.006,37.149,37.255,37.416,37.615,37.751,38.366,39.353,41.059,42.595,44.04,45.299,46.18,47.51,52.441,58.786,62.169,65.335,68.946,73.661,79.907,86.112,90.993,93.553,95.188,97.008,98.39,100.288,102.197,103.711,105.388,107.056,108.369,109.089,110.388,111.323,112.293,112.59,113.124,113.015,113.902,113.96,112.942,110.475,109.788,110.57,110.966,110.547,111.157,111.626,108.527,107.741,108.214,106.832,104.658,103.243,101.801,100,100.205,101.39,103.079,107.953,116.938,118.176,116.263
